UF,nome_municipio,populacao,geocodigo
RO,Alta Floresta D'Oeste,21558,1100015
RO,Ariquemes,100896,1100023
RO,Cabixi,5107,1100031
RO,Cacoal,92202,1100049
RO,Cerejeiras,15237,1100056
RO,Colorado do Oeste,15747,1100064
RO,Corumbiara,7503,1100072
RO,Costa Marques,12633,1100080
RO,Espigão D'Oeste,29722,1100098
RO,Guajará-Mirim,39396,1100106
RO,Jaru,52090,1100114
RO,Ji-Paraná,136825,1100122
RO,Machadinho D'Oeste,30626,1100130
RO,Nova Brasilândia D'Oeste,17355,1100148
RO,Ouro Preto do Oeste,36753,1100155
RO,Pimenta Bueno,37464,1100189
RO,Porto Velho,461748,1100205
RO,Presidente Médici,19316,1100254
RO,Rio Crespo,3476,1100262
RO,Rolim de Moura,57180,1100288
RO,Santa Luzia D'Oeste,7394,1100296
RO,Vilhena,95599,1100304
RO,São Miguel do Guaporé,21612,1100320
RO,Nova Mamoré,25452,1100338
RO,Alvorada D'Oeste,13092,1100346
RO,Alto Alegre dos Parecis,13023,1100379
RO,Alto Paraíso,17140,1100403
RO,Buritis,28178,1100452
RO,Novo Horizonte do Oeste,7653,1100502
RO,Cacaulândia,4157,1100601
RO,Campo Novo de Rondônia,8840,1100700
RO,Candeias do Jamari,22564,1100809
RO,Castanheiras,3269,1100908
RO,Chupinguaia,9351,1100924
RO,Cujubim,14338,1100940
RO,Governador Jorge Teixeira,8012,1101005
RO,Itapuã do Oeste,9465,1101104
RO,Ministro Andreazza,6440,1101203
RO,Mirante da Serra,9200,1101302
RO,Monte Negro,11966,1101401
RO,Nova União,6194,1101435
RO,Parecis,3953,1101450
RO,Pimenteiras do Oeste,2180,1101468
RO,Primavera de Rondônia,3071,1101476
RO,São Felipe D'Oeste,5259,1101484
RO,São Francisco do Guaporé,16302,1101492
RO,Seringueiras,11183,1101500
RO,Teixeirópolis,4284,1101559
RO,Theobroma,9253,1101609
RO,Urupá,10828,1101708
RO,Vale do Anari,7806,1101757
RO,Vale do Paraíso,6487,1101807
AC,Acrelândia,12707,1200013
AC,Assis Brasil,8157,1200054
AC,Brasiléia,25786,1200104
AC,Bujari,11962,1200138
AC,Capixaba,9737,1200179
AC,Cruzeiro do Sul,94345,1200203
AC,Epitaciolândia,18697,1200252
AC,Feijó,35035,1200302
AC,Jordão,11105,1200328
AC,Mâncio Lima,19172,1200336
AC,Manoel Urbano,12246,1200344
AC,Marechal Thaumaturgo,16825,1200351
AC,Plácido de Castro,16313,1200385
AC,Porto Walter,10706,1200393
AC,Rio Branco,364368,1200401
AC,Rodrigues Alves,16072,1200427
AC,Santa Rosa do Purus,7672,1200435
AC,Senador Guiomard,21658,1200450
AC,Sena Madureira,39746,1200500
AC,Tarauacá,43072,1200609
AC,Xapuri,18181,1200708
AC,Porto Acre,16218,1200807
AM,Alvarães,15916,1300029
AM,Amaturá,10814,1300060
AM,Anamã,9927,1300086
AM,Anori,17052,1300102
AM,Apuí,21403,1300144
AM,Atalaia do Norte,15440,1300201
AM,Autazes,41672,1300300
AM,Barcelos,18399,1300409
AM,Barreirinha,30990,1300508
AM,Benjamin Constant,37436,1300607
AM,Beruri,20807,1300631
AM,Boa Vista do Ramos,24018,1300680
AM,Boca do Acre,35964,1300706
AM,Borba,33209,1300805
AM,Caapiranga,13851,1300839
AM,Canutama,17362,1300904
AM,Carauari,29176,1301001
AM,Careiro,30819,1301100
AM,Careiro da Várzea,19615,1301159
AM,Coari,71130,1301209
AM,Codajás,24071,1301308
AM,Eirunepé,33173,1301407
AM,Envira,17034,1301506
AM,Fonte Boa,27692,1301605
AM,Guajará,13809,1301654
AM,Humaitá,59504,1301704
AM,Ipixuna,24387,1301803
AM,Iranduba,59767,1301852
AM,Itacoatiara,103826,1301902
AM,Itamarati,10783,1301951
AM,Itapiranga,10183,1302009
AM,Japurá,9281,1302108
AM,Juruá,10501,1302207
AM,Jutaí,25048,1302306
AM,Lábrea,47003,1302405
AM,Manacapuru,102736,1302504
AM,Manaquiri,17333,1302553
AM,Manaus,2054731,1302603
AM,Manicoré,59225,1302702
AM,Maraã,15706,1302801
AM,Maués,61167,1302900
AM,Nhamundá,20249,1303007
AM,Nova Olinda do Norte,27088,1303106
AM,Novo Airão,15819,1303205
AM,Novo Aripuanã,24251,1303304
AM,Parintins,96251,1303403
AM,Pauini,20351,1303502
AM,Presidente Figueiredo,30762,1303536
AM,Rio Preto da Eva,24807,1303569
AM,Santa Isabel do Rio Negro,14305,1303601
AM,Santo Antônio do Içá,28233,1303700
AM,São Gabriel da Cachoeira,51921,1303809
AM,São Paulo de Olivença,32727,1303908
AM,São Sebastião do Uatumã,11697,1303957
AM,Silves,11572,1304005
AM,Tabatinga,66837,1304062
AM,Tapauá,21914,1304104
AM,Tefé,74142,1304203
AM,Tonantins,20180,1304237
AM,Uarini,14597,1304260
AM,Urucará,18582,1304302
AM,Urucurituba,24017,1304401
RR,Amajari,16994,1400027
RR,Alto Alegre,23582,1400050
RR,Boa Vista,408157,1400100
RR,Bonfim,16169,1400159
RR,Cantá,18030,1400175
RR,Caracaraí,20780,1400209
