UF,nome_municipio,pop_est,pop_est_2016,geocodigo
RO,Alta Floresta D'Oeste,22728,25506,1100015
RO,Ariquemes,109523,105896,1100023
RO,Cabixi,5188,6289,1100031
RO,Cacoal,85893,87877,1100049
RO,Cerejeiras,16204,17959,1100056
RO,Colorado do Oeste,15544,18639,1100064
RO,Corumbiara,7220,8749,1100072
RO,Costa Marques,18798,17031,1100080
RO,Espigão D'Oeste,32695,32712,1100098
RO,Guajará-Mirim,46556,47048,1100106
RO,Jaru,51620,55806,1100114
RO,Ji-Paraná,130009,131560,1100122
RO,Machadinho D'Oeste,40867,37899,1100130
RO,Nova Brasilândia D'Oeste,20489,21670,1100148
RO,Ouro Preto do Oeste,35737,39840,1100155
RO,Pimenta Bueno,36881,37786,1100189
RO,Porto Velho,539354,511219,1100205
RO,Presidente Médici,18571,22337,1100254
RO,Rio Crespo,3804,3790,1100262
RO,Rolim de Moura,55407,56664,1100288
RO,Santa Luzia D'Oeste,6216,8362,1100296
RO,Vilhena,102211,93745,1100304
RO,São Miguel do Guaporé,23077,24059,1100320
RO,Nova Mamoré,31392,28255,1100338
RO,Alvorada D'Oeste,14106,16902,1100346
RO,Alto Alegre dos Parecis,13255,13993,1100379
RO,Alto Paraíso,21847,20569,1100403
RO,Buritis,40356,38450,1100452
RO,Novo Horizonte do Oeste,8329,10161,1100502
RO,Cacaulândia,6269,6414,1100601
RO,Campo Novo de Rondônia,14266,14354,1100700
RO,Candeias do Jamari,27388,24719,1100809
RO,Castanheiras,2987,3583,1100908
RO,Chupinguaia,11472,10364,1100924
RO,Cujubim,26183,21720,1100940
RO,Governador Jorge Teixeira,7445,9933,1101005
RO,Itapuã do Oeste,10641,10155,1101104
RO,Ministro Andreazza,9559,10786,1101203
RO,Mirante da Serra,10818,12308,1101302
RO,Monte Negro,16007,16032,1101401
RO,Nova União,6895,7796,1101435
RO,Parecis,6198,5802,1101450
RO,Pimenteiras do Oeste,2148,2417,1101468
RO,Primavera de Rondônia,2776,3456,1101476
RO,São Felipe D'Oeste,5066,6048,1101484
RO,São Francisco do Guaporé,20681,19353,1101492
RO,Seringueiras,11851,12617,1101500
RO,Teixeirópolis,4233,4966,1101559
RO,Theobroma,10395,11348,1101609
RO,Urupá,11272,13198,1101708
RO,Vale do Anari,11377,10999,1101757
RO,Vale do Paraíso,6656,8138,1101807
AC,Acrelândia,15490,14120,1200013
AC,Assis Brasil,7534,6863,1200054
AC,Brasiléia,26702,24311,1200104
AC,Bujari,10420,9503,1200138
AC,Capixaba,12008,10820,1200179
AC,Cruzeiro do Sul,89072,82075,1200203
AC,Epitaciolândia,18696,17038,1200252
AC,Feijó,34884,32372,1200302
AC,Jordão,8473,7685,1200328
AC,Mâncio Lima,19311,17545,1200336
AC,Manoel Urbano,9581,8765,1200344
AC,Marechal Thaumaturgo,19299,17401,1200351
AC,Plácido de Castro,19955,18336,1200385
AC,Porto Walter,12241,11059,1200393
AC,Rio Branco,413418,377057,1200401
AC,Rodrigues Alves,19351,17464,1200427
AC,Santa Rosa do Purus,6717,6021,1200435
AC,Senador Guiomard,23236,21369,1200450
AC,Sena Madureira,46511,42451,1200500
AC,Tarauacá,43151,39427,1200609
AC,Xapuri,19596,17894,1200708
AC,Porto Acre,18824,17111,1200807
AM,Alvarães,16220,15729,1300029
AM,Amaturá,11736,11047,1300060
AM,Anamã,13956,12653,1300086
AM,Anori,21477,19749,1300102
AM,Apuí,22359,21031,1300144
AM,Atalaia do Norte,20398,18599,1300201
AM,Autazes,40290,37752,1300300
AM,Barcelos,27638,27589,1300409
AM,Barreirinha,32483,31105,1300508
AM,Benjamin Constant,43935,40417,1300607
AM,Beruri,20093,18579,1300631
AM,Boa Vista do Ramos,19626,18080,1300680
AM,Boca do Acre,34635,33840,1300706
AM,Borba,41748,39885,1300805
AM,Caapiranga,13283,12622,1300839
AM,Canutama,15807,15312,1300904
AM,Carauari,28508,28111,1301001
AM,Careiro,38348,36922,1301100
AM,Careiro da Várzea,30846,28592,1301159
AM,Coari,85910,83929,1301209
AM,Codajás,29168,27303,1301308
AM,Eirunepé,35700,34461,1301407
AM,Envira,20393,19143,1301506
AM,Fonte Boa,17005,20199,1301605
AM,Guajará,16937,16085,1301654
AM,Humaitá,56144,52354,1301704
AM,Ipixuna,30436,27587,1301803
AM,Iranduba,49011,46703,1301852
AM,Itacoatiara,102701,98503,1301902
AM,Itamarati,7814,8153,1301951
AM,Itapiranga,9230,9040,1302009
AM,Japurá,2251,4660,1302108
AM,Juruá,15106,13581,1302207
AM,Jutaí,13886,16200,1302306
AM,Lábrea,46882,44071,1302405
AM,Manacapuru,98502,95330,1302504
AM,Manaquiri,33049,29327,1302553
AM,Manaus,2219580,2094391,1302603
AM,Manicoré,56583,53890,1302702
AM,Maraã,18261,18477,1302801
AM,Maués,65040,61110,1302900
AM,Nhamundá,21443,20633,1303007
AM,Nova Olinda do Norte,38026,35800,1303106
AM,Novo Airão,19928,18133,1303205
AM,Novo Aripuanã,26046,24718,1303304
AM,Parintins,115363,112716,1303403
AM,Pauini,19522,19488,1303502
AM,Presidente Figueiredo,37193,33703,1303536
AM,Rio Preto da Eva,34106,31274,1303569
AM,Santa Isabel do Rio Negro,25865,23092,1303601
AM,Santo Antônio do Içá,21243,23378,1303700
AM,São Gabriel da Cachoeira,46303,43831,1303809
AM,São Paulo de Olivença,40073,37300,1303908
AM,São Sebastião do Uatumã,14352,13105,1303957
AM,Silves,9230,9147,1304005
AM,Tabatinga,67182,62346,1304062
AM,Tapauá,17015,18039,1304104
AM,Tefé,59547,62230,1304203
AM,Tonantins,18897,18632,1304237
AM,Uarini,13690,13276,1304260
AM,Urucará,16130,17065,1304302
AM,Urucurituba,23585,21650,1304401
RR,Amajari,13185,11285,1400027
RR,Alto Alegre,15380,16053,1400050
RR,Boa Vista,419652,326419,1400100
RR,Bonfim,12557,11843,1400159
RR,Cantá,18799,16516,1400175
RR,Caracaraí,22283,20537,1400209
RR,Caroebe,10383,9331,1400233
RR,Iracema,12296,10592,1400282
RR,Mucajaí,18172,16618,1400308
RR,Normandia,11532,10339,1400407
RR,Pacaraima,18913,12144,1400456
